# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
F	UFDTLIRA/20200306-Kanig/spark2014bench/O902-020__private_types__use_simple_private_type.adb_8_22_precondition___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/OA06-016__contracts_on_intrinsic_relations__p.adb_17_10_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/OB09-003__counterexam_out_of_range__p.adb_20_32_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/OC10-037__private_attach_handler__q.ads_11_26_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__client_unit.adb_54_10_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/P118-034__flow_gg_constants__a.adb_36_42_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P301-005__pred_rec_decl__preds.adb_22_7_predicate_check_on_default_value___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mod_lemmas.adb_97_18_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_224_36_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P412-022__membership_in_task_subtype__p.ads_5_23_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P414-029__equality_formal_vectors__a-cofuve.ads_238_59_a-cfinve.ads_102_7_names.adb_44_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_swap__test_swap_lines.adb_23_67_test_swap_lines.adb_60_4_index_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P602-004__entry_range_check__inrange.adb_16_22_assert___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P630-025__flow_tasking__gnat_bug.ads_16_52_interrupt_reserved___00.smt2	sat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/P715-007__termination__term.ads_7_14_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__a-cofuse.ads_272_16_formal_cont.ads_26_4_inconsistent_pre___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__r.adb_26_13_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #455 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
F	UFDTLIRA/20200306-Kanig/spark2014bench/P801-002__type_invariant_comp__use_types_with_invariants_no_spark.adb_12_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #38 has sort (Uninterpreted 6) that the pure-Rust BV backend cannot bit-blast
F	UFDTLIRA/20200306-Kanig/spark2014bench/P820-002__protected_out__pr_a.adb_22_20_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__default_checks_on_private__tagged_component_check.ads_262_25_range_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2	16	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/PC09-010__lsp_inherited__check_lsp.ads_29_23_check_lsp.ads_39_7_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #358 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/PC09-010__lsp_inherited__check_lsp.ads_29_23_check_lsp.ads_39_7_postcondition___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q105-001__hidden_comp_default_check__tagged_component_check.ads_23_28_range_check___00.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q105-001__hidden_comp_default_check__tagged_component_check.ads_23_28_range_check___00.smt2	33	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q124-055__no_inlining__incr_expr_fun.adb_17_43_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q327-014__no_pre__dispatch.adb_24_24_overflow_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q327-014__no_pre__dispatch.adb_24_24_overflow_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q328-034__mut_discr__tokens.ads_24_18_inconsistent_pre___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2378 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q328-034__mut_discr__tokens.ads_24_18_inconsistent_pre___00.smt2	55	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q521-001__flow_remote_states__pumpunit.ads_87_61_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q802-001__inline__test_annotate.adb_43_19_assert___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	28	DTARG-CENSUS pairs=231 dt_result=0 dt_result_inexact=0 args=22 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=13 apply_exact=0 apply_inexact=9 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=78 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=13 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/Q912-021__codepeer_by_example__bad_self_assign.adb_4_11_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/QA11-057__counterexamples__absolute_values.adb_11_14_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/QB03-022__exit_status__incr.adb_3_11_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	2	DTARG-CENSUS pairs=34 dt_result=0 dt_result_inexact=0 args=17 sym_exact=0 sym_inexact=17 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	2	DTARG-CENSUS pairs=7 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=8 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/QC21-016__flow_race__p.adb_7_28_assert___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/R322-036__external__c.adb_7_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #68 has sort (Uninterpreted 1) that the pure-Rust BV backend cannot bit-blast
F	UFDTLIRA/20200306-Kanig/spark2014bench/R423-012__dead_code__dead_code.adb_9_7_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_05664c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_05664c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_11e36a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_11e36a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_11e36a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=38 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=0 ctor_exact=13 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_11e36a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=36 dt_result=0 dt_result_inexact=0 args=11 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=421 dt_result=0 dt_result_inexact=0 args=44 sym_exact=0 sym_inexact=0 ctor_exact=44 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_360c00_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_360c00_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_360c00_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=10 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_360c00_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=173 dt_result=0 dt_result_inexact=0 args=29 sym_exact=0 sym_inexact=0 ctor_exact=29 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	6	DTARG-CENSUS pairs=0 dt_result=1 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=1361 dt_result=1 dt_result_inexact=0 args=103 sym_exact=10 sym_inexact=0 ctor_exact=87 ctor_inexact=0 apply_exact=6 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=20 dt_result=1 dt_result_inexact=0 args=11 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=661 dt_result=1 dt_result_inexact=0 args=63 sym_exact=0 sym_inexact=0 ctor_exact=62 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_45f7a1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=69 dt_result=1 dt_result_inexact=0 args=19 sym_exact=0 sym_inexact=0 ctor_exact=18 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=3 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=37 dt_result=0 dt_result_inexact=0 args=12 sym_exact=0 sym_inexact=0 ctor_exact=12 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=437 dt_result=0 dt_result_inexact=0 args=45 sym_exact=0 sym_inexact=0 ctor_exact=45 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=323 dt_result=0 dt_result_inexact=0 args=39 sym_exact=0 sym_inexact=0 ctor_exact=39 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
